Person ID,Exists,Job ID,Candidate_SF_Id,Job_SF_Id,Job_Submission_Exists,Error
500261,Not Exist,182162,,,N/A (candidate not in SF),
500276,Exist,179306,a00N300001Eu4GcIAJ,a02N300000qJPOAIA4,Exist,
500303,Not Exist,179303,,,N/A (candidate not in SF),
500303,Not Exist,182162,,,N/A (candidate not in SF),
500312,Exist,179303,a00N300001Eu4GkIAJ,a02N300000qJg7FIAS,Exist,
500312,Exist,179306,a00N300001Eu4GkIAJ,a02N300000qJPOAIA4,Exist,
500329,Exist,179306,a00N300001Eu4GmIAJ,a02N300000qJPOAIA4,Not Exist,
505917,Not Exist,179306,,,N/A (candidate not in SF),
506044,Exist,179306,a00N300001Eu4SMIAZ,a02N300000qJPOAIA4,Exist,
506049,Not Exist,179306,,,N/A (candidate not in SF),
506050,Not Exist,179306,,,N/A (candidate not in SF),
506052,Not Exist,179306,,,N/A (candidate not in SF),
506063,Not Exist,179306,,,N/A (candidate not in SF),
506104,Exist,179306,a00N300001F2yMmIAJ,a02N300000qJPOAIA4,Exist,
506126,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
506126,Exist,179306,a00N300001F2yMpIAJ,a02N300000qJPOAIA4,Exist,
506128,Not Exist,182162,,,N/A (candidate not in SF),
506174,Not Exist,179306,,,N/A (candidate not in SF),
506177,Exist,179306,a00N300001F2yN0IAJ,a02N300000qJPOAIA4,Exist,
506185,Not Exist,179306,,,N/A (candidate not in SF),
506244,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
533134,Not Exist,179306,,,N/A (candidate not in SF),
533209,Exist,179306,a00N300001F2yvGIAR,a02N300000qJPOAIA4,Exist,
533372,Not Exist,179306,,,N/A (candidate not in SF),
533623,Exist,179306,a00N300001F2yvPIAR,a02N300000qJPOAIA4,Not Exist,
533687,Exist,179306,a00N300001F2yvQIAR,a02N300000qJPOAIA4,Not Exist,
533809,Not Exist,182162,,,N/A (candidate not in SF),
533977,Not Exist,179306,,,N/A (candidate not in SF),
534267,Not Exist,179306,,,N/A (candidate not in SF),
534298,Exist,179303,a00N300001F2yvYIAR,a02N300000qJg7FIAS,Exist,
534298,Exist,179306,a00N300001F2yvYIAR,a02N300000qJPOAIA4,Exist,
534463,Not Exist,179306,,,N/A (candidate not in SF),
534485,Not Exist,179306,,,N/A (candidate not in SF),
534586,Exist,179306,a00N300001Eu4efIAB,a02N300000qJPOAIA4,Not Exist,
534604,Exist,179306,a00N300001Eu4egIAB,a02N300000qJPOAIA4,Not Exist,
534638,Exist,179306,a00N300001F2yvhIAB,a02N300000qJPOAIA4,Exist,
534650,Exist,179306,a00N300001F2yvjIAB,a02N300000qJPOAIA4,Not Exist,
534710,Exist,179306,a00N300001F2yo2IAB,a02N300000qJPOAIA4,Not Exist,
534948,Exist,179306,a00N300001F2yvqIAB,a02N300000qJPOAIA4,Exist,
