person id,count
2360012,4
6331435,4
2989791,4
5139662,4
1551935,4
5824461,4
7308889,4
3623574,4
6344486,4
5462361,4
5891996,4
2882712,4
2849848,4
6438865,4
4387803,4
2096393,4
3185947,3
6349624,3
6718394,3
3082855,3
5769318,3
2375194,3
5894175,3
8272313,3
4233838,3
7641271,3
7856150,3
1943554,3
7047762,3
5510462,3
996474,3
3027074,3
6090403,3
5195277,3
6379217,3
7757655,3
2828576,3
3886658,3
3632628,3
4871731,3
7127397,3
3826379,3
6062664,3
2900106,3
7769285,3
2849929,3
6595570,3
8690,3
7740125,3
4110492,3
4179774,3
7064579,3
7765780,3
1592156,3
7042895,3
7112727,3
2616050,3
4983351,3
6465011,3
6292175,3
6665054,3
7926425,3
6716684,3
3905248,3
5705130,3
989647,3
3887360,3
1387794,3
7064981,3
7859470,3
8861109,3
3977136,3
2629116,3
2243864,3
4636371,3
1539329,3
8272053,3
8498270,3
2891662,3
5896918,3
2824981,3
5744189,3
3913767,3
2980878,3
5345122,3
7069438,3
5153160,3
6574540,3
3396384,3
4623638,3
4693343,3
4710184,3
4777286,3
4796811,3
4813796,3
4898060,3
5584206,3
5798641,3
6246562,3
6692238,3
7451376,3
8370765,3
8519458,3
8803089,3
4845101,3
4754341,3
4616700,3
2864260,3
2881965,3
2266092,3
7599952,3
8653459,3
7488625,3
7754881,3
2986041,3
7043038,3
5491721,3
2850544,3
2096395,3
7364775,3
3829963,3
6364968,3
7777656,3
8305734,3
2882510,3
4881117,3
5500210,3
7109861,3
4753584,3
4387605,3
3208929,3
8272489,3
8529071,3
5136330,3
3012035,3
6610975,3
8375034,3
4884347,3
7118407,3
6907627,3
4846835,3
6934544,3
4176410,3
3248112,3
934260,3
3912587,3
4866692,3
5259533,3
4847732,3
6025339,3
5253643,3
6638523,3
6064552,3
6691693,3
1968847,3
1793826,3
2849830,3
7757382,3
6717803,3
5906960,3
6843420,3
5466611,3
3269109,3
2992207,3
4880650,3
6350028,3
6656696,3
6536731,3
3233603,3
2106388,3
8357168,3
6547302,3
3522809,3
2753571,3
5926978,3
6435991,3
1296017,3
4753900,3
4737840,3
3635270,3
8149620,3
7766343,3
4689764,3
7372793,3
6262795,3
315953,3
7180694,3
6996620,3
2503274,3
4652264,3
7908727,3
4898103,3
4783176,3
3623583,3
2605254,3
1248925,3
8635146,3
7034978,3
3169769,3
4351986,3
6000337,3
3202967,3
4334066,3
3166594,3
4974765,3
5381803,3
6319641,3
2552274,3
6918228,3
3279495,3
2243716,3
6891585,3
6054581,3
2850558,3
4841104,3
3342423,3
3173672,3
6340620,3
7186459,3
7116202,3
7306485,3
6482346,3
2166023,3
8160840,3
7523025,3
1219511,3
5978406,3
4128785,3
3509645,3
7455975,3
5552249,3
6257406,3
7820650,3
3341369,3
4692299,3
4704272,3
2849971,3
2814313,3
1322669,3
3176631,3
2396812,3
7274423,3
3054230,3
2671134,3
7293968,3
7282700,3
4684557,3
8272226,3
2601501,3
7561022,3
2154655,3
3590200,3
3891933,3
1733189,3
5892237,3
3589579,3
6279953,3
3436705,3
4787823,3
1278844,3
4702042,3
443021,3
5875698,3
5890756,3
3885078,3
6137037,3
6688198,3
5290493,3
4899068,3
6845974,3
7886318,3
7148041,3
2804039,3
6333503,3
3990126,3
8473227,3
6774497,3
7108682,3
7046734,3
7937451,3
1668855,3
3916931,3
4027526,3
5207607,3
5510528,3
8391695,2
5194343,2
5910573,2
7160777,2
6509334,2
4596963,2
7891199,2
7652106,2
4805005,2
4645855,2
5832097,2
6140737,2
4233357,2
2503508,2
8670781,2
6157803,2
1973465,2
8177409,2
8570984,2
4093323,2
7030753,2
3438331,2
7840534,2
5844103,2
3865010,2
3897907,2
7930991,2
5849120,2
7045551,2
5046706,2
8714673,2
5511243,2
4938416,2
4030071,2
8307689,2
4473214,2
4367774,2
7921637,2
5275945,2
4705491,2
6332208,2
7053267,2
4006920,2
8751267,2
3358339,2
7395210,2
9018525,2
7212355,2
7471796,2
3135762,2
3984643,2
8736585,2
5200059,2
3910055,2
7766357,2
6224353,2
7419923,2
6284877,2
5101832,2
5450755,2
3523457,2
7064327,2
4872648,2
7320866,2
8080666,2
4625607,2
8134293,2
2979470,2
7067157,2
8068878,2
3928773,2
6950591,2
6854679,2
8022102,2
3904116,2
7563092,2
3523464,2
8904712,2
4825590,2
6465757,2
5371051,2
8703803,2
4612651,2
4638395,2
4642278,2
